id,machine_id,event_timestamp,longitude,latitude,course_over_ground,speed_gps_kph,road_segment_id
8236838318,41244,2014-10-30 12:02:03.000000,170.79176,-45.247948,116,96,370053844
8236749223,29564,2014-10-30 11:43:42.000000,170.798544,-45.26433,165,98,370250233
8236748549,39033,2014-10-30 11:43:32.000000,170.79804,-45.261651,178,101,370250233
8236747777,39033,2014-10-30 11:43:12.000000,170.796995,-45.256788,169,999,370156551
8236747771,39033,2014-10-30 11:42:53.000000,170.795882,-45.252126,171,101,370053844
8236746194,29564,2014-10-30 11:43:22.000000,170.797935,-45.259408,170,98,370250233
8236746192,29564,2014-10-30 11:43:03.000000,170.796519,-45.254773,170,99,370053844
8236743236,29564,2014-10-30 11:42:53.000000,170.795958,-45.252313,171,101,370053844
8236743234,29564,2014-10-30 11:42:43.000000,170.7948,-45.249879,147,104,370053844
8236743231,29564,2014-10-30 11:42:25.000000,170.789567,-45.247216,999,103,370053844
8236742595,39033,2014-10-30 11:42:44.000000,170.794814,-45.249948,148,104,370053844
8236742593,39033,2014-10-30 11:42:26.000000,170.789657,-45.247253,117,104,370053844
8236739317,39033,2014-10-30 11:42:08.000000,170.785206,-45.2438,144,107,370161648
8236739302,39033,2014-10-30 11:41:50.000000,170.781391,-45.240041,152,99,370248900
8236736926,29564,2014-10-30 11:41:39.000000,170.780404,-45.237538,175,100,370248900
8236739876,29564,2014-10-30 11:42:16.000000,170.786986,-45.245734,142,105,370161648
8236739868,29564,2014-10-30 11:41:58.000000,170.78315,-45.241835,142,101,370161648
8236729660,29564,2014-10-30 11:40:16.000000,170.788337,-45.220664,225,98,370157069
8236729504,39033,2014-10-30 11:40:04.000000,170.791406,-45.218503,225,97,370240705
8236668166,3763,2014-10-30 11:28:07.000000,-45.263341,170.798217,173,95,370250233
8236664269,3763,2014-10-30 11:27:06.000000,170.794591,-45.249733,145,999,370053844
8236473746,7367,2014-10-30 10:49:49.000000,170.795917,-45.251852,169,95,370053844
8236266919,11237,2014-10-30 10:10:28.000000,170.798753,-45.264784,161,97,370250233
8236266842,17728,2014-10-30 10:10:28.000000,170.798587,-45.264589,162,96,370250233
8236263501,17728,2014-10-30 10:10:08.000000,170.797937,-45.259745,174,97,370250233
8236263497,17728,2014-10-30 10:09:48.000000,170.796504,-45.254963,170,98,370053844
8236263488,11237,2014-10-30 10:10:08.000000,170.798047,-45.259959,175,97,370250233
8236263484,11237,2014-10-30 10:09:48.000000,170.79663,-45.255164,169,999,370053844
8236260585,39138,2014-10-30 10:09:04.000000,170.792695,-45.248351,124,95,370053844
8236260566,11237,2014-10-30 10:09:23.000000,170.794231,-45.249326,139,99,370053844
8236260004,17728,2014-10-30 10:09:28.000000,170.794978,-45.250196,151,99,370053844
8236259985,17728,2014-10-30 10:09:08.000000,170.789664,-45.247319,118,95,370053844
8236259224,39139,2014-10-30 10:08:59.000000,170.791042,-45.247713,112,97,370053844
8236257289,29914,2014-10-30 10:08:45.000000,170.787206,-45.245938,138,101,370161648
8236257159,39138,2014-10-30 10:08:45.000000,170.787095,-45.245859,140,104,370161648
8236256374,39139,2014-10-30 10:08:40.000000,170.785954,-45.244679,149,105,370161648
8236132607,4990,2014-10-30 09:45:40.000000,170.790952,-45.247695,112,95,370053844
8236132173,39841,2014-10-30 09:45:37.000000,170.790317,-45.247494,114,97,370053844
8236081022,25907,2014-10-30 09:36:17.000000,170.780711,-45.23878,165,96,370248900
8235835838,25347,2014-10-30 08:50:29.000000,170.798125,-45.262135,176,96,370250233
8235835322,23943,2014-10-30 08:50:24.000000,170.798045,-45.261155,180,95,370250233
8235832308,25347,2014-10-30 08:49:59.000000,170.796665,-45.255077,167,95,370053844
8235832303,25347,2014-10-30 08:49:39.000000,170.795254,-45.250447,153,999,370053844
8235831932,23943,2014-10-30 08:50:04.000000,170.796951,-45.256485,169,95,370154598
8235831930,23943,2014-10-30 08:49:44.000000,170.795838,-45.251783,169,95,370053844
8235828526,25347,2014-10-30 08:49:09.000000,170.787463,-45.246095,136,99,370161648
8235828397,23943,2014-10-30 08:49:17.000000,170.789961,-45.247363,116,95,370053844
8235444210,9244,2014-10-30 07:40:45.000000,170.788271,-45.220809,44,102,370305461
8235441642,3751,2014-10-30 07:40:48.000000,170.789078,-45.220071,45,105,370157069
8235426645,9244,2014-10-30 07:37:58.000000,170.789937,-45.247436,293,96,370053844
8235426528,3751,2014-10-30 07:37:55.000000,170.790754,-45.247611,292,97,370053844
8235422901,9244,2014-10-30 07:37:39.000000,170.795089,-45.250364,333,105,370053844
8235422899,9244,2014-10-30 07:37:21.000000,170.796483,-45.25497,350,104,370053844
8235422598,3751,2014-10-30 07:37:27.000000,170.796102,-45.253266,351,105,370053844
8235422592,3751,2014-10-30 07:37:09.000000,170.797359,-45.25785,344,102,370156551
8235419299,9244,2014-10-30 07:36:54.000000,170.798054,-45.261725,356,100,370250233
8235418990,3751,2014-10-30 07:36:51.000000,170.798054,-45.262314,355,100,370250233
8235300576,38824,2014-10-30 07:16:56.000000,170.791432,-45.218402,45,98,370240705
8235270746,38824,2014-10-30 07:13:28.000000,170.795617,-45.251431,347,97,370053844
8235270744,38824,2014-10-30 07:13:08.000000,170.79676,-45.256156,349,97,370053844
8235265986,38824,2014-10-30 07:12:48.000000,170.797934,-45.26091,0,96,370250233
8235265976,38824,2014-10-30 07:12:28.000000,170.798989,-45.26566,345,97,370250233
8235244900,37357,2014-10-30 07:09:32.000000,170.783777,-45.24244,143,110,370161648
8235221482,12357,2014-10-30 07:05:40.000000,170.797798,-45.259515,352,96,370250233
8235221477,12357,2014-10-30 07:05:20.000000,170.798319,-45.264247,345,98,370250233
8235217695,7679,2014-10-30 07:04:46.000000,170.789386,-45.219831,45,95,370157069
8235187032,7679,2014-10-30 07:00:36.000000,170.798972,-45.265728,346,95,370250233
8235122389,13190,2014-10-30 06:50:27.000000,170.798974,-45.265828,346,95,370250233
8235057708,36008,2014-10-30 06:40:47.000000,170.798078,-45.262141,176,111,370250233
8235054110,36008,2014-10-30 06:40:38.000000,170.797948,-45.259661,172,111,370250233
8235054104,36008,2014-10-30 06:40:20.000000,170.796471,-45.254835,170,113,370053844
8235050160,36008,2014-10-30 06:39:56.000000,170.793048,-45.248548,127,116,370053844
8235050156,36008,2014-10-30 06:39:40.000000,170.787536,-45.246211,134,111,370161648
8235045964,36008,2014-10-30 06:39:31.000000,170.785508,-45.244151,145,112,370161648
8235045961,36008,2014-10-30 06:39:15.000000,170.781734,-45.240494,150,113,370248900
8235042067,36008,2014-10-30 06:38:52.000000,170.781004,-45.234215,193,106,370248900
8235033119,36008,2014-10-30 06:37:25.000000,170.791874,-45.218191,227,101,370240705
8234990903,13642,2014-10-30 06:31:37.000000,170.780397,-45.235705,12,96,370248900
8234986740,13642,2014-10-30 06:30:57.000000,170.785089,-45.243859,324,95,370161648
8234981871,13642,2014-10-30 06:30:12.000000,170.795465,-45.251061,341,96,370053844
8234981867,13642,2014-10-30 06:29:52.000000,170.79664,-45.25573,349,96,370053844
8234872858,12175,2014-10-30 06:14:37.000000,170.784011,-45.242627,142,96,370161648
8234865314,39188,2014-10-30 06:13:19.000000,170.795063,-45.250192,150,95,370053844
8234683423,36008,2014-10-30 05:50:57.000000,170.789096,-45.220052,45,96,370157069
8234657168,36008,2014-10-30 05:47:47.000000,170.796079,-45.253317,351,95,370053844
8234651341,36008,2014-10-30 05:47:37.000000,170.796644,-45.255712,349,101,370053844
8234608638,18957,2014-10-30 05:42:06.000000,170.792278,-45.217881,50,97,370240705
8234607449,19532,2014-10-30 05:41:58.000000,170.789911,-45.219264,45,101,370240705
8234585573,7370,2014-10-30 05:39:15.000000,170.794667,-45.249686,144,95,370053844
8234583605,7358,2014-10-30 05:39:22.000000,170.795553,-45.250993,160,96,370053844
8234581091,18957,2014-10-30 05:38:45.000000,170.795199,-45.250517,336,100,370053844
8234579584,19532,2014-10-30 05:38:47.000000,170.794749,-45.250234,332,99,370053844
8234579450,7370,2014-10-30 05:38:35.000000,170.784944,-45.24354,143,95,370161648
8234577349,7358,2014-10-30 05:38:42.000000,170.786064,-45.244746,149,97,370161648
8234577336,7358,2014-10-30 05:38:22.000000,170.782047,-45.240749,145,97,370248900
8234574621,7358,2014-10-30 05:38:13.000000,170.780831,-45.238668,167,95,370248900
8234574879,18957,2014-10-30 05:38:25.000000,170.796567,-45.255372,349,100,370053844
8234574869,18957,2014-10-30 05:38:07.000000,170.797918,-45.259852,355,102,370250233
8234573414,19532,2014-10-30 05:38:27.000000,170.796339,-45.255063,349,100,370053844
8234573411,19532,2014-10-30 05:38:09.000000,170.797736,-45.259529,352,102,370250233
8234572755,7370,2014-10-30 05:38:15.000000,170.781059,-45.239528,158,96,370248900
8234572753,7370,2014-10-30 05:37:55.000000,170.780839,-45.234856,193,99,370248900
8234569161,18957,2014-10-30 05:37:58.000000,170.798019,-45.262129,356,101,370250233
8234568011,19532,2014-10-30 05:37:51.000000,170.79821,-45.264044,345,101,370250233
8234541399,41407,2014-10-30 05:34:03.000000,170.797573,-45.258322,164,95,370250233
8234531377,41407,2014-10-30 05:33:23.000000,170.794134,-45.249232,138,99,370053844
8234531365,41407,2014-10-30 05:33:03.000000,170.788287,-45.24662,128,99,370161648
8234531273,11996,2014-10-30 05:33:13.000000,170.788251,-45.220646,45,95,370157069
8234525161,41407,2014-10-30 05:32:53.000000,170.786091,-45.244741,149,99,370161648
8234402303,25347,2014-10-30 05:19:06.000000,170.790016,-45.2194,44,97,370240705
8234385875,23943,2014-10-30 05:17:31.000000,170.780244,-45.236652,0,95,370248900
8234384728,25347,2014-10-30 05:17:36.000000,170.780371,-45.235917,8,96,370248900
8234377882,23943,2014-10-30 05:16:51.000000,170.785883,-45.244668,330,96,370161648
8234376944,25347,2014-10-30 05:16:45.000000,170.78741,-45.246172,315,95,370161648
8234372097,23943,2014-10-30 05:16:31.000000,170.790842,-45.247686,293,96,370053844
8234372089,23943,2014-10-30 05:16:13.000000,170.795104,-45.250408,337,95,370053844
8234370703,25347,2014-10-30 05:16:15.000000,170.795088,-45.250361,334,95,370053844
8233961916,12118,2014-10-30 04:38:03.000000,170.798389,-45.263872,167,95,370250233
8233945389,12118,2014-10-30 04:37:13.000000,170.795968,-45.252336,171,95,370053844
8233945373,12118,2014-10-30 04:36:53.000000,170.792678,-45.248306,124,95,370053844
8233851988,12119,2014-10-30 04:29:35.000000,170.780936,-45.239527,336,96,370248900
8233838197,26070,2014-10-30 04:28:42.000000,170.798929,-45.265544,344,95,370250233
8233825614,12119,2014-10-30 04:27:24.000000,170.79878,-45.265174,343,96,370250233
8233701460,31622,2014-10-30 04:18:56.000000,170.798179,-45.262894,175,99,370250233
8233701458,31622,2014-10-30 04:18:36.000000,170.797479,-45.25808,163,97,370250233
8233657647,31622,2014-10-30 04:15:55.000000,170.781747,-45.229437,168,49,370311698
8233402562,41244,2014-10-30 03:59:00.000000,170.796982,-45.256858,348,95,370156551
8233375393,4898,2014-10-30 03:56:43.000000,170.796159,-45.25295,171,100,370053844
8233365855,4898,2014-10-30 03:56:34.000000,170.795484,-45.250744,157,99,370053844
8233313696,4898,2014-10-30 03:53:03.000000,170.789991,-45.219492,225,73,370240705
8232916544,22108,2014-10-30 03:28:22.000000,170.79867,-45.264664,162,95,370250233
8232904803,22108,2014-10-30 03:28:02.000000,170.798009,-45.259999,175,95,370250233
8232904785,22108,2014-10-30 03:27:42.000000,170.796633,-45.255328,169,96,370053844
8232894088,22108,2014-10-30 03:27:04.000000,170.790786,-45.247617,113,96,370053844
8232882607,22108,2014-10-30 03:26:44.000000,170.785774,-45.244393,147,98,370161648
8232773281,27196,2014-10-30 03:20:19.000000,170.795509,-45.25137,162,97,370053844
8232769568,28671,2014-10-30 03:20:16.000000,170.795472,-45.250858,158,95,370053844
8232773514,3973,2014-10-30 03:20:32.000000,170.787716,-45.246335,133,84,370161648
8232729432,17132,2014-10-30 03:18:13.000000,170.798867,-45.265265,343,97,370250233
8232315861,15245,2014-10-30 02:55:15.000000,170.787361,-45.246134,314,114,370161648
8232315850,15245,2014-10-30 02:54:58.000000,170.793084,-45.248562,309,114,370053844
8232312049,16920,2014-10-30 02:54:53.000000,170.780796,-45.234656,14,95,370248900
8232299929,16920,2014-10-30 02:54:33.000000,170.780852,-45.239376,338,98,370248900
8232299903,16920,2014-10-30 02:54:13.000000,170.784488,-45.243256,323,95,370161648
8232295636,15245,2014-10-30 02:54:16.000000,170.797822,-45.259296,351,112,370250233
8232295612,15245,2014-10-30 02:53:58.000000,170.798361,-45.264139,345,111,370250233
8232326563,15245,2014-10-30 02:55:58.000000,170.780433,-45.235681,11,111,370248900
8232289037,16920,2014-10-30 02:53:45.000000,170.7914,-45.247866,295,100,370053844
8232289010,16920,2014-10-30 02:53:25.000000,170.795628,-45.251463,346,96,370053844
8232276469,16920,2014-10-30 02:53:05.000000,170.796797,-45.256334,349,99,370053844
8232134203,22441,2014-10-30 02:45:33.000000,170.780429,-45.237761,173,96,370248900
8232095188,17197,2014-10-30 02:43:08.000000,170.795859,-45.2523,351,95,370053844
8232093268,2827,2014-10-30 02:43:13.000000,170.780814,-45.237581,183,95,370248900
8232082145,17197,2014-10-30 02:42:38.000000,170.797763,-45.25916,349,100,370250233
8232006666,24435,2014-10-30 02:38:10.000000,170.798154,-45.262764,175,99,370250233
8231994297,24435,2014-10-30 02:37:50.000000,170.797398,-45.257926,163,96,370250233
8231994293,24435,2014-10-30 02:37:30.000000,170.796134,-45.253198,171,100,370053844
8231983780,24435,2014-10-30 02:37:21.000000,170.795514,-45.250965,160,101,370053844
8231983763,24435,2014-10-30 02:37:03.000000,170.791074,-45.247691,113,100,370053844
8231972872,30293,2014-10-30 02:36:20.000000,170.798452,-45.264465,342,96,370250233
8231971893,24435,2014-10-30 02:36:45.000000,170.786127,-45.244822,149,103,370161648
8231971873,24435,2014-10-30 02:36:27.000000,170.782383,-45.241104,143,100,370248900
8231962784,24435,2014-10-30 02:36:08.000000,170.78038,-45.236671,182,98,370248900
8231616148,12119,2014-10-30 02:17:43.000000,170.780483,-45.235976,190,95,370248900
8231609531,21082,2014-10-30 02:17:34.000000,170.798103,-45.26224,176,96,370250233
8231609512,21082,2014-10-30 02:17:14.000000,170.797261,-45.257576,165,96,370156551
8231596550,21082,2014-10-30 02:16:44.000000,170.795366,-45.25066,156,95,370053844
8231564774,7168,2014-10-30 02:15:05.000000,170.792048,-45.217996,46,95,370240705
8231563528,21082,2014-10-30 02:15:13.000000,170.781142,-45.233964,194,96,370248900
8231499641,14946,2014-10-30 02:11:50.000000,170.796054,-45.252745,171,96,370053844
8231488178,14946,2014-10-30 02:10:54.000000,170.784343,-45.242966,143,98,370161648
8231455482,7168,2014-10-30 02:09:32.000000,170.799048,-45.26592,346,95,370250233
8231252515,2109,2014-10-30 01:58:37.000000,170.795919,-45.252401,352,97,370053844
8231239425,2109,2014-10-30 01:58:27.000000,170.796446,-45.254821,350,98,370053844
8231239391,2109,2014-10-30 01:58:07.000000,170.797863,-45.259456,352,96,370250233
8231208794,6005,2014-10-30 01:56:41.000000,170.796054,-45.252498,171,95,370053844
8231137558,40487,2014-10-30 01:53:16.000000,170.78439,-45.243029,143,98,370161648
8231137552,40487,2014-10-30 01:52:56.000000,170.780798,-45.23903,162,96,370248900
8230948999,18353,2014-10-30 01:43:41.000000,170.786965,-45.245857,319,95,370161648
8230761401,38843,2014-10-30 01:34:37.000000,170.790555,-45.219015,45,96,370240705
8230757949,29564,2014-10-30 01:34:27.000000,170.788267,-45.220629,45,96,370157069
8230712701,38843,2014-10-30 01:32:21.000000,170.786593,-45.245517,325,95,370161648
8230709324,29564,2014-10-30 01:32:21.000000,170.786511,-45.245416,326,96,370161648
8230709287,29564,2014-10-30 01:32:01.000000,170.791981,-45.248065,299,96,370053844
8230700181,38843,2014-10-30 01:31:54.000000,170.79395,-45.249184,318,96,370053844
8230700161,38843,2014-10-30 01:31:34.000000,170.796168,-45.253671,351,100,370053844
8230696593,29564,2014-10-30 01:31:41.000000,170.795749,-45.25183,350,96,370053844
8230696568,29564,2014-10-30 01:31:13.000000,170.797615,-45.258686,345,100,370250233
8230688229,38843,2014-10-30 01:31:15.000000,170.797507,-45.258312,344,100,370250233
8230688177,38843,2014-10-30 01:30:57.000000,170.798087,-45.262778,355,99,370250233
8230684294,29564,2014-10-30 01:30:54.000000,170.79817,-45.263404,353,99,370250233
8230534473,35022,2014-10-30 01:23:17.000000,170.7959,-45.252043,168,110,370053844
8230379831,39411,2014-10-30 01:15:36.000000,170.798653,-45.264624,163,95,370250233
8230363610,39411,2014-10-30 01:14:46.000000,170.79613,-45.253117,171,96,370053844
8230217181,9435,2014-10-30 01:07:33.000000,170.796365,-45.254618,350,95,370053844
8230040473,17728,2014-10-30 00:58:44.000000,170.790795,-45.218872,45,97,370240705
8229945815,38794,2014-10-30 00:54:08.000000,170.798699,-45.265046,342,95,370250233
8229728926,8126,2014-10-30 00:42:53.000000,170.796259,-45.254537,349,101,370053844
8229715491,8126,2014-10-30 00:42:13.000000,170.798223,-45.263798,350,96,370250233
8229494864,18965,2014-10-30 00:31:43.000000,170.7962,-45.25348,171,95,370053844
8229494826,18965,2014-10-30 00:31:23.000000,170.793905,-45.249069,136,96,370053844
8229481435,18965,2014-10-30 00:30:53.000000,170.786166,-45.244858,149,95,370161648
8229295008,3763,2014-10-30 00:21:29.000000,170.790183,-45.21962,45,95,370240705
8229220598,3763,2014-10-30 00:17:50.000000,170.796089,-45.252814,354,95,370053844
8229207532,3763,2014-10-30 00:17:00.000000,170.798355,-45.264192,346,95,370250233
8229021234,6005,2014-10-30 00:07:35.000000,170.795941,-45.252654,351,95,370053844
8229008337,6005,2014-10-30 00:07:25.000000,170.796466,-45.254977,350,95,370053844
8236844273,41244,2014-10-30 12:03:03.000000,170.79797,-45.260633,180,95,370250233
8236748550,39033,2014-10-30 11:43:42.000000,170.798462,-45.264127,166,98,370250233
8236747785,39033,2014-10-30 11:43:22.000000,170.79786,-45.259201,168,98,370250233
8236747774,39033,2014-10-30 11:43:02.000000,170.796368,-45.254354,170,99,370053844
8236746195,29564,2014-10-30 11:43:32.000000,170.798072,-45.261879,176,100,370250233
8236746193,29564,2014-10-30 11:43:13.000000,170.797168,-45.25722,167,100,370156551
